func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,1.804,8.702
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,2.182,8.895
gcp,128,1KB,gcp,gcp,True,1.101,0.2
gcp,128,1KB,aws,aws,True,0.622,0.603
gcp,128,1KB,gcp,gcp,True,0.696,0.198
gcp,256,1KB,aws,aws,True,0.499,0.494
gcp,256,1KB,gcp,gcp,True,0.362,0.102
gcp,256,1KB,aws,aws,True,0.364,0.46
gcp,256,1KB,gcp,gcp,True,0.217,0.032
gcp,256,1KB,aws,aws,True,0.279,0.251
gcp,256,1KB,gcp,gcp,True,0.199,0.098
gcp,256,1KB,aws,aws,True,0.299,0.502
gcp,256,1KB,gcp,gcp,True,0.234,0.033
gcp,256,1KB,aws,aws,True,0.444,0.261
gcp,256,1KB,gcp,gcp,True,0.206,0.047
gcp,256,1KB,aws,aws,True,0.212,0.238
gcp,256,1KB,gcp,gcp,True,0.103,0.059
gcp,256,1KB,aws,aws,True,0.315,0.207
gcp,256,1KB,gcp,gcp,True,0.132,0.036
gcp,256,1KB,aws,aws,True,0.274,0.431
gcp,256,1KB,gcp,gcp,True,0.117,0.09
gcp,256,1KB,aws,aws,True,0.494,0.288
gcp,256,1KB,gcp,gcp,True,0.202,0.098
gcp,256,1KB,aws,aws,True,0.518,0.303
gcp,256,1KB,gcp,gcp,True,0.202,0.099
gcp,256,1KB,aws,aws,True,0.368,0.2
gcp,256,1KB,gcp,gcp,True,0.201,0.035
gcp,256,1KB,aws,aws,True,0.296,0.382
gcp,256,1KB,gcp,gcp,True,0.173,0.043
gcp,256,1KB,aws,aws,True,0.285,0.221
gcp,256,1KB,gcp,gcp,True,0.101,0.028
gcp,256,1KB,aws,aws,True,0.334,0.27
gcp,256,1KB,gcp,gcp,True,0.104,0.033
gcp,256,1KB,aws,aws,True,0.246,0.278
gcp,256,1KB,gcp,gcp,True,0.178,0.052
gcp,512,1KB,aws,aws,True,0.234,0.195
gcp,512,1KB,gcp,gcp,True,0.104,0.056
gcp,512,1KB,aws,aws,True,0.205,0.15
gcp,512,1KB,gcp,gcp,True,0.107,0.039
gcp,512,1KB,aws,aws,True,0.19,0.275
gcp,512,1KB,gcp,gcp,True,0.096,0.052
gcp,512,1KB,aws,aws,True,0.204,0.152
gcp,512,1KB,gcp,gcp,True,0.089,0.036
gcp,512,1KB,aws,aws,True,0.298,0.188
gcp,512,1KB,gcp,gcp,True,0.184,0.035
gcp,512,1KB,aws,aws,True,0.263,0.151
gcp,512,1KB,gcp,gcp,True,0.105,0.036
gcp,512,1KB,aws,aws,True,0.226,0.143
gcp,512,1KB,gcp,gcp,True,0.086,0.034
gcp,512,1KB,aws,aws,True,0.219,0.188
gcp,512,1KB,gcp,gcp,True,0.145,0.098
gcp,512,1KB,aws,aws,True,0.186,0.147
gcp,512,1KB,gcp,gcp,True,0.108,0.038
gcp,512,1KB,aws,aws,True,0.196,0.186
gcp,512,1KB,gcp,gcp,True,0.083,0.031
gcp,512,1KB,aws,aws,True,0.212,0.151
gcp,512,1KB,gcp,gcp,True,0.083,0.044
gcp,512,1KB,aws,aws,True,0.186,0.143
gcp,512,1KB,gcp,gcp,True,0.115,0.052
gcp,512,1KB,aws,aws,True,0.23,0.147
gcp,512,1KB,gcp,gcp,True,0.114,0.03
gcp,512,1KB,aws,aws,True,0.226,0.143
gcp,512,1KB,gcp,gcp,True,0.088,0.035
gcp,512,1KB,aws,aws,True,0.248,0.167
gcp,512,1KB,gcp,gcp,True,0.104,0.039
gcp,1024,1KB,aws,aws,True,0.257,0.176
gcp,1024,1KB,gcp,gcp,True,0.108,0.056
gcp,1024,1KB,aws,aws,True,0.206,0.172
gcp,1024,1KB,gcp,gcp,True,0.162,0.031
gcp,1024,1KB,aws,aws,True,0.196,0.164
gcp,1024,1KB,gcp,gcp,True,0.095,0.03
gcp,1024,1KB,aws,aws,True,0.193,0.14
gcp,1024,1KB,gcp,gcp,True,0.08,0.037
gcp,1024,1KB,aws,aws,True,0.203,0.147
gcp,1024,1KB,gcp,gcp,True,0.091,0.034
gcp,1024,1KB,aws,aws,True,0.19,0.17
gcp,1024,1KB,gcp,gcp,True,0.114,0.036
gcp,1024,1KB,aws,aws,True,0.216,0.165
gcp,1024,1KB,gcp,gcp,True,0.085,0.029
gcp,1024,1KB,aws,aws,True,0.193,0.248
gcp,1024,1KB,gcp,gcp,True,0.105,0.029
gcp,1024,1KB,aws,aws,True,0.193,0.153
gcp,1024,1KB,gcp,gcp,True,0.089,0.037
gcp,1024,1KB,aws,aws,True,0.189,0.146
gcp,1024,1KB,gcp,gcp,True,0.158,0.04
gcp,1024,1KB,aws,aws,True,0.19,0.164
gcp,1024,1KB,gcp,gcp,True,0.143,0.055
gcp,1024,1KB,aws,aws,True,0.194,0.17
gcp,1024,1KB,gcp,gcp,True,0.098,0.032
gcp,1024,1KB,aws,aws,True,0.191,0.154
gcp,1024,1KB,gcp,gcp,True,0.088,0.028
gcp,1024,1KB,aws,aws,True,0.192,0.166
gcp,1024,1KB,gcp,gcp,True,0.095,0.034
gcp,1024,1KB,aws,aws,True,0.183,0.147
gcp,1024,1KB,gcp,gcp,True,0.092,0.034
gcp,2048,1KB,aws,aws,True,0.205,0.153
gcp,2048,1KB,gcp,gcp,True,0.099,0.033
gcp,2048,1KB,aws,aws,True,0.228,0.15
gcp,2048,1KB,gcp,gcp,True,0.103,0.033
gcp,2048,1KB,aws,aws,True,0.198,0.161
gcp,2048,1KB,gcp,gcp,True,0.094,0.038
gcp,2048,1KB,aws,aws,True,0.2,0.164
